46 : 66755284.879693575
Gen 5947 : 66754995.394401506
Gen 5948 : 66754602.40109662
Gen 5949 : 66752903.86207509
Gen 5950 : 66745177.971387
Gen 5951 : 66743486.82633359
Gen 5952 : 66738639.358577736
Gen 5953 : 66734988.38743868
Gen 5954 : 66733470.099871874
Gen 5955 : 66731938.15082189
Gen 5956 : 66727381.2384105
Gen 5957 : 66727113.35655774
Gen 5958 : 66720918.671243265
Gen 5959 : 66716148.93716141
Gen 5960 : 66714615.81074454
Gen 5961 : 66710909.345891476
Gen 5962 : 66704592.471370116
Gen 5963 : 66698182.21899016
Gen 5964 : 66698070.042948045
Gen 5965 : 66698021.02761894
Gen 5966 : 66697574.4511592
Gen 5967 : 66696931.42218054
Gen 5968 : 66692627.254157424
Gen 5969 : 66692108.89798306
Gen 5970 : 66691274.02878081
Gen 5971 : 66689461.734630294
Gen 5972 : 66689435.329948775
Gen 5973 : 66688315.44980551
Gen 5974 : 66687293.21078196
Gen 5975 : 66685382.054460995
Gen 5976 : 66684599.62914714
Gen 5977 : 66684553.5044925
Gen 5978 : 66679307.13870784
Gen 5979 : 66679284.1019336
Gen 5980 : 66678919.630343586
Gen 5981 : 66678864.58130775
Gen 5982 : 66678123.889050625
Gen 5983 : 66677076.68217225
Gen 5984 : 66675001.53283069
Gen 5985 : 66674072.01205714
Gen 5986 : 66674010.15961463
Gen 5987 : 66655471.37403952
Gen 5988 : 66651759.11110662
Gen 5989 : 66650910.65728974
Gen 5990 : 66650225.74679047
Gen 5991 : 66641617.75920695
Gen 5992 : 66639407.54047726
Gen 5993 : 66631703.51487359
Gen 5994 : 66630305.1135701
Gen 5995 : 66629811.21968528
Gen 5996 : 66629771.12375176
Gen 5997 : 66628384.92822273
Gen 5998 : 66626726.32947303
Gen 5999 : 66621893.53176214
Gen 6000 : 66614908.32353583
Gen 6001 : 66612751.95557954
Gen 6002 : 66609291.0476057
Gen 6003 : 66605464.773690715
Gen 6004 : 66594235.67027158
Gen 6005 : 66593650.48419975
Gen 6006 : 66591556.6447644
Gen 6007 : 66586728.57194979
Gen 6008 : 66576623.65325481
Gen 6009 : 66575848.81894017
Gen 6010 : 66575312.5276722
Gen 6011 : 66574633.1224033
Gen 6012 : 66573018.466076724
Gen 6013 : 66572364.76596997
Gen 6014 : 66572075.290308625
Gen 6015 : 66570506.88618924
Gen 6016 : 66567719.98734776
Gen 6017 : 66564814.67730614
Gen 6018 : 66553491.62175044
Gen 6019 : 66549735.33918622
Gen 6020 : 66548494.14380275
Gen 6021 : 66534415.852916315
Gen 6022 : 66534080.877219155
Gen 6023 : 66532941.82636229
Gen 6024 : 66532937.38660786
Gen 6025 : 66526249.73185997
Gen 6026 : 66525564.892372064
Gen 6027 : 66524973.022713006
Gen 6028 : 66514941.09512282
Gen 6029 : 66514123.67752901
Gen 6030 : 66512957.58745587
Gen 6031 : 66512790.880877174
Gen 6032 : 66508137.9273055
Gen 6033 : 66506904.19161872
Gen 6034 : 66503980.333247975
Gen 6035 : 66503968.34833077
Gen 6036 : 66503238.142935954
Gen 6037 : 66503230.79229633
Gen 6038 : 66501513.5148557
Gen 6039 : 66498981.82379453
Gen 6040 : 66498839.39651811
Gen 6041 : 66497426.03378086
Gen 6042 : 66496003.38165582
Gen 6043 : 66494598.20844185
Gen 6044 : 66493863.89308227
Gen 6045 : 66490054.812860556
Gen 6046 : 66489564.431603454
Gen 6047 : 66485393.16419983
Gen 6048 : 66484363.01221996
Gen 6049 : 66479229.54082641
Gen 6050 : 66474281.745458536
Gen 6051 : 66467280.85941598
Gen 6052 : 66467200.065578625
Gen 6053 : 66465994.95525655
Gen 6054 : 66461591.48225576
Gen 6055 : 66457626.39979252
Gen 6056 : 66454413.47166393
Gen 6057 : 66453858.098829105
Gen 6058 : 66452561.23441472
Gen 6059 : 66449928.43973
Gen 6060 : 66440186.6103055
Gen 6061 : 66436721.787577115
Gen 6062 : 66436228.51571833
Gen 6063 : 66435525.54071425
Gen 6064 : 66435502.986612126
Gen 6065 : 66435180.31964447
Gen 6066 : 66432825.28540687
Gen 6067 : 66430720.85895914
Gen 6068 : 66428422.85703744
Gen 6069 : 66425098.503921606
Gen 6070 : 66423136.11274743
Gen 6071 : 66422291.90194737
Gen 6072 : 66416957.606237575
Gen 6073 : 66412684.571578294
Gen 6074 : 66411324.471974716
Gen 6075 : 66408561.235660285
Gen 6076 : 66404464.09164462
Gen 6077 : 66403662.32603186
Gen 6078 : 66403408.64377001
Gen 6079 : 66391566.73730579
Gen 6080 : 66388425.77412773
Gen 6081 : 66387940.24611302
Gen 6082 : 66382355.35110037
Gen 6083 : 66372351.6334317
Gen 6084 : 66368813.3747208
Gen 6085 : 66362632.2836089
Gen 6086 : 66357341.81748304
Gen 6087 : 66352907.25272264
Gen 6088 : 66352338.99474496
Gen 6089 : 66349053.47620045
Gen 6090 : 66347306.84830264
Gen 6091 : 66346566.780983016
Gen 6092 : 66345020.304118715
Gen 6093 : 66343635.90080057
Gen 6094 : 66340474.3963304
Gen 6095 : 66339707.0735288
Gen 6096 : 66335725.09297948
Gen 6097 : 66335721.58370382
Gen 6098 : 66325561.359059446
Gen 6099 : 66324183.56686851
Gen 6100 : 66321302.54805593
Gen 6101 : 66318576.165649146
Gen 6102 : 66315902.21771931
Gen 6103 : 66312192.227051824
Gen 6104 : 66311272.45463949
Gen 6105 : 66307043.76564199
Gen 6106 : 66306720.691727236
Gen 6107 : 66298531.89336318
Gen 6108 : 66298467.316160575
Gen 6109 : 66288316.1700692
Gen 6110 : 66285562.63134432
Gen 6111 : 66284308.99612821
Gen 6112 : 66281542.190637134
Gen 6113 : 66267063.459329545
Gen 6114 : 66265684.2292991
Gen 6115 : 66265035.7912803
Gen 6116 : 66263035.187678985
Gen 6117 : 66262204.6087419
Gen 6118 : 66249808.443290174
Gen 6119 : 66248715.69393673
Gen 6120 : 66248483.16426707
Gen 6121 : 66246146.781436004
Gen 6122 : 66245370.73265433
Gen 6123 : 66245317.734185375
Gen 6124 : 66237374.78381854
Gen 6125 : 66232324.80711551
Gen 6126 : 66228988.60548701
Gen 6127 : 66227484.56817261
Gen 6128 : 66226488.65761497
Gen 6129 : 66216030.25557447
Gen 6130 : 66214515.550592385
Gen 6131 : 66211489.55856785
Gen 6132 : 66210205.668144085
Gen 6133 : 66210139.29320947
Gen 6134 : 66207974.705693245
Gen 6135 : 66204124.05875253
Gen 6136 : 66200717.49758465
Gen 6137 : 66196767.68596723
Gen 6138 : 66195920.379144646
Gen 6139 : 66192329.872608066
Gen 6140 : 66181456.96015511
Gen 6141 : 66181436.5536591
Gen 6142 : 66177069.40334457
